0.31926835 0.30876983 0.32288072 0.34097281 0.32997137
0.33270339 0.33280736 0.30388178 0.31697082 0.35652306
0.30444759 0.3006811 0.32625654 0.33335546 0.31120935
0.33915915 0.33441396 0.34496457 0.32203899 0.3427605
0.33814825 0.3236323 0.3195067 0.34121653 0.31252356
0.34230015 0.32028328 0.29792752 0.34515946 0.3089969
0.31732411 0.33777116 0.3411113 0.34125927 0.32629813
0.34407475 0.30324556 0.33871554 0.35023226 0.31978202
0.33933263 0.31575744 0.33275321 0.33831099 0.31634365
0.32466118 0.3268828 0.35799728 0.31788646 0.31565481
