"V1","V2","V3","V4","V5","V6"
0,25,0,0,25,0
0,0,0,0,25,50
25,0,25,50,75,25
75,50,50,50,25,75
50,50,75,50,50,75
50,50,75,75,100,75
75,100,100,100,75,75
100,100,100,75,100,75
75,75,75,100,100,100
75,100,75,75,75,100
