"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
0.890000000000327,0.710000000000036,0.730000000000018,0.740000000000236,0.720000000000255,0.759999999999764,0.7199999999998,0.760000000000218,0.75,0.730000000000018,0.75,0.759999999999764,0.779999999999745,0.75,0.739999999999782,0.730000000000018,0.740000000000236,0.740000000000236,0.720000000000255,0.730000000000018,0.700000000000273,0.720000000000255,0.699999999999818,0.700000000000273,0.769999999999982,0.730000000000018,0.700000000000273,0.740000000000236,0.720000000000255,0.7199999999998
1.61999999999989,1.61999999999989,1.61000000000013,1.57000000000016,1.59999999999991,1.59000000000015,1.63000000000011,1.65000000000009,1.61000000000013,1.58999999999969,1.61000000000013,1.63999999999987,1.59000000000015,1.61000000000013,1.63999999999987,1.57999999999993,1.60999999999967,1.61000000000013,1.63999999999987,1.61000000000013,1.61000000000013,1.64000000000033,1.57999999999993,1.90999999999985,1.63000000000011,1.61999999999989,1.59000000000015,1.61000000000013,1.62999999999965,1.63999999999987
2.79999999999973,2.84999999999991,2.75999999999976,2.82999999999993,2.80000000000018,2.77999999999975,2.79999999999973,2.77999999999975,2.7800000000002,2.77999999999975,2.80000000000018,2.8100000000004,2.75999999999976,2.79999999999973,2.7800000000002,2.72000000000025,2.75,2.75,2.81999999999971,2.76000000000022,2.76999999999998,2.75,3.01999999999998,3,2.7800000000002,2.80000000000018,2.7800000000002,2.82000000000016,3,2.7800000000002
4.19000000000005,4.14000000000033,4.17000000000007,4.07000000000016,4.13000000000011,4.22000000000025,4.23000000000002,4.19000000000005,4.19000000000005,4.2199999999998,4.25,4.15999999999985,4.19999999999982,4.51999999999998,4.21000000000004,4.25,4.23000000000002,4.14000000000033,4.42000000000007,4.1899999999996,4.13999999999987,4.16000000000031,4.19000000000005,4.11999999999989,4.14000000000033,4.14000000000033,4.17000000000007,4.13999999999987,4.15999999999985,4.13999999999987
5.34999999999991,5.33000000000038,5.61999999999989,5.30000000000018,5.19999999999982,5.33999999999969,5.28999999999996,5.17999999999984,5.25,5.2800000000002,5.34000000000015,5.42000000000007,5.26000000000022,5.30000000000018,5.30999999999995,5.30000000000018,5.2199999999998,5.25,5.29999999999973,5.33999999999969,5.36000000000013,5.2800000000002,5.36000000000013,5.25999999999976,5.21000000000004,5.53999999999996,4.94999999999982,5.28999999999996,5.34999999999991,5.58000000000038
7.09999999999991,6.86999999999989,6.94000000000005,7.61000000000013,6.81999999999971,6.98000000000002,6.7199999999998,6.78999999999996,6.76999999999998,6.89000000000033,6.76000000000022,7.01999999999998,6.7199999999998,7.05000000000018,6.80999999999995,6.76000000000022,6.64000000000033,6.69000000000005,6.98000000000002,6.75,6.90999999999985,6.36000000000013,4.70000000000027,5.34000000000015,5.64999999999964,5.13999999999987,4.7199999999998,5.2199999999998,5.13999999999987,4.63999999999987
5.20000000000027,5.48000000000002,5.26999999999998,5.25,5.24000000000024,5.23000000000002,5.44000000000005,5.23000000000002,5.19999999999982,5.21000000000004,5.21000000000004,5.44000000000005,5.25,5.14999999999964,5.25,5.22000000000025,5.19999999999982,5.38000000000011,5.23999999999978,5.44000000000005,5.23000000000002,5.17000000000007,5.25,5.19000000000005,5.40999999999985,5.34000000000015,5.19000000000005,5.19000000000005,5.2199999999998,5.42000000000007
6.31999999999971,6.32000000000062,6.60999999999967,6.3100000000004,6.36999999999989,6.30000000000018,6.31999999999971,6.39000000000033,6.86999999999989,11.2600000000002,8.36999999999989,8.23000000000047,7.52999999999975,7.94999999999982,7.52999999999975,7.32999999999993,7.17000000000007,7.25,6.61000000000058,7,6.89000000000033,6.73999999999978,6.67000000000007,6.5,6.77000000000044,6.82999999999993,7.21000000000004,6.51000000000022,6.68000000000029,6.50999999999931
7.60999999999967,7.64000000000033,7.53999999999996,7.44999999999982,7.32999999999993,7.38000000000011,7.28999999999996,7.5,7.31999999999971,7.30000000000018,7.59000000000015,7.3799999999992,7.28999999999996,7.39000000000033,7.39999999999964,7.55000000000018,7.28000000000065,7.29999999999927,7.26000000000022,7.46000000000004,7.32999999999993,7.34000000000015,7.32999999999993,7.38000000000011,7.52999999999975,7.53000000000065,7.30999999999949,7.40999999999985,7.57999999999993,7.32999999999993
8.71999999999935,8.69000000000051,8.67000000000007,8.75,8.67000000000007,8.81999999999971,8.70000000000073,8.96999999999935,8.72000000000025,8.75,10.7999999999993,16.1900000000005,16.6600000000008,16.0999999999995,16.1599999999999,11.4099999999999,15.6300000000001,16.1199999999999,15.7700000000004,15.7199999999993,10.6299999999992,9.05000000000018,8.89000000000033,9.38000000000011,9.19000000000051,8.86999999999989,8.73999999999978,8.86999999999989,8.95000000000073,8.78999999999996
