"V1","V2","V3"
4.28499999999985,11.2330000000002,13.2459999999992
15.4850000000001,36.9179999999997,43.1859999999997
39.9059999999999,76.085,98.7939999999999
73.6550000000002,140.768,188.498000000001
124.864,236.572,334.219000000001
208.646,346.906,481.485000000001
242.236,491.737,639.580999999998
353.727,713.294,1076.858
398.825,1048.455,1301.604
519.337,1682.474,1812.45
